name_first_last,weight,mlb_g,height_inches,round_sort,round,draft_type,bats,description,height_feet,pick,year,name_last_first,overall,milb_g,team_full,league_full,primary_position,team_abbrev,birth_date,throws,league_id,school,trans_date,signed_sw,round_desc,mlbamPlayerID,mlbamTeamID
Jeff Williams,0,N,0,1,1,JR,,June Amateur Draft,0,26,1980,"Williams, Jeff",26,Y,Baltimore Orioles,American League,OF,BAL,,,103,"Princeton HS (Cincinnati, OH)",,N,Round 1,568839,110
Jay Tibbs,185,Y,3,2,2,JR,R,June Amateur Draft,6,1,1980,"Tibbs, Jay",27,Y,New York Mets,National League,P,NYM,1962-01-04T00:00:00,R,104,"Huffman HS (Birmingham, AL)",,N,Round 2,123332,121
Ken Kinnard,0,N,0,2,2,JR,R,June Amateur Draft,0,2,1980,"Kinnard, Ken",28,N,Toronto Blue Jays,American League,1B,TOR,1961-04-24T00:00:00,R,103,Claremore HS (OK),,N,Round 2,467381,141
Brian Fisher,210,Y,4,2,2,JR,R,June Amateur Draft,6,3,1980,"Fisher, Brian",29,Y,Atlanta Braves,National League,P,ATL,1962-03-18T00:00:00,R,104,"Hinckley HS (Aurora, CO)",,N,Round 2,114160,144
Rhett Whisman,,N,,2,2,JR,,June Amateur Draft,,4,1980,"Whisman, Rhett",30,N,Oakland Athletics,American League,SS,OAK,,,103,Fairfield HS (OH),,N,Round 2,568651,133
William Erickson,,N,,2,2,JR,,June Amateur Draft,,5,1980,"Erickson, William",31,N,San Francisco Giants,National League,P,SF,,,104,La Jolla HS (CA),,N,Round 2,558268,137
Matt Young,205,Y,3,2,2,JR,L,June Amateur Draft,6,6,1980,"Young, Matt",32,Y,Seattle Mariners,American League,P,SEA,1958-08-09T00:00:00,L,103,UCLA,,N,Round 2,124707,136
Jeffrey Horne,,N,0,2,2,JR,,June Amateur Draft,,7,1980,"Horne, Jeffrey",33,N,Pittsburgh Pirates,National League,P,PIT,,,104,"White Oak HS (Jacksonville, NC)",,N,Round 2,475571,134
Wesley Kent,,N,0,2,2,JR,,June Amateur Draft,,8,1980,"Kent, Wesley",34,N,Chicago White Sox,American League,P,CWS,,,103,"Sahuaro HS (Tucson, AZ)",,N,Round 2,474351,145
Jim Weaver,190,Y,3,2,2,JR,L,June Amateur Draft,6,9,1980,"Weaver, Jim",35,Y,Minnesota Twins,American League,OF,MIN,1959-10-10T00:00:00,L,103,Florida State,,N,Round 2,124007,142
Turner Gill,188,N,11,2,2,JR,R,June Amateur Draft,5,10,1980,"Gill, Turner",36,Y,Chicago White Sox,American League,SS,CWS,1962-08-13T00:00:00,R,103,"Arlington Heights HS (Fort Worth, TX)",,N,Round 2,452897,145
Dan Cataline,,N,,2,2,JR,,June Amateur Draft,,11,1980,"Cataline, Dan",37,N,Chicago Cubs,National League,OF,CHC,,,104,"Archbishop Ryan HS (Philadelphia, PA)",,N,Round 2,570053,112
Tim Teufel,175,Y,0,2,2,JR,R,June Amateur Draft,6,12,1980,"Teufel, Tim",38,N,Minnesota Twins,American League,2B,MIN,1958-07-07T00:00:00,R,103,Clemson,,N,Round 2,123212,142
Larry Knight,,N,,2,2,JR,,June Amateur Draft,,13,1980,"Knight, Larry",39,N,Philadelphia Phillies,National League,P,PHI,,,104,"Lookout Valley HS (Chattanooga, TN)",,N,Round 2,561184,143
Dwayne Henry,205,Y,3,2,2,JR,R,June Amateur Draft,6,14,1980,"Henry, Dwayne",40,Y,Texas Rangers,American League,P,TEX,1962-02-16T00:00:00,R,103,"Middletown HS (Odessa, DE)",,N,Round 2,115781,140
Dan Plesac,215,Y,5,2,2,JR,L,June Amateur Draft,6,15,1980,"Plesac, Dan",41,N,St. Louis Cardinals,National League,P,STL,1962-02-04T00:00:00,L,104,Crown Point HS (IN),,N,Round 2,120624,138
Roger Hansen,0,N,0,2,2,JR,R,June Amateur Draft,0,16,1980,"Hansen, Roger",42,Y,Kansas City Royals,American League,3B,KC,1961-08-28T00:00:00,R,103,"Rio Mesa HS (Camarillo, CA)",,N,Round 2,559225,118
Jim Pettibone,,N,,2,2,JR,,June Amateur Draft,,17,1980,"Pettibone, Jim",43,N,Cincinnati Reds,National League,P,CIN,,,104,"Saguaro HS (Scottsdale, AZ)",,N,Round 2,564513,113
Charles Reese,,N,,2,2,JR,,June Amateur Draft,,18,1980,"Reese, Charles",44,N,Detroit Tigers,American League,SS,DET,,,103,"Pequannock Twp HS (Pompton Plains, NJ)",,N,Round 2,565681,116
Ken Jones,,N,,2,2,JR,,June Amateur Draft,,19,1980,"Jones, Ken",45,N,Cincinnati Reds,National League,P,CIN,,,104,Arizona State,,N,Round 2,560667,113
Mike Olson,,N,,2,2,JR,,June Amateur Draft,,20,1980,"Olson, Mike",46,N,Kansas City Royals,American League,P,KC,,,103,St. Louis Park HS (MN),,N,Round 2,563994,118
Dave Miley,220,N,3,2,2,JR,L,June Amateur Draft,6,21,1980,"Miley, Dave",47,N,Cincinnati Reds,National League,SS,CIN,1962-04-03T00:00:00,R,104,"Chamberlain HS (Tampa, FL)",,N,Round 2,429730,113
Mike Brown,195,Y,2,2,2,JR,R,June Amateur Draft,6,22,1980,"Brown, Mike",48,Y,Boston Red Sox,American League,P,BOS,1959-03-04T00:00:00,R,103,Clemson,,N,Round 2,111576,111
Tim Burke,205,Y,3,2,2,JR,R,June Amateur Draft,6,23,1980,"Burke, Tim",49,N,Pittsburgh Pirates,National League,P,PIT,1959-02-19T00:00:00,R,104,Nebraska,,N,Round 2,111730,134
Joe Hesketh,170,Y,2,2,2,JR,R,June Amateur Draft,6,24,1980,"Hesketh, Joe",50,Y,Montreal Expos,National League,P,MON,1959-02-15T00:00:00,L,104,University of Buffalo,,N,Round 2,115866,120
Bob Schroeck,,N,,2,2,JR,,June Amateur Draft,,25,1980,"Schroeck, Bob",51,N,Milwaukee Brewers,American League,P,MIL,,,103,Southern Illinois,,N,Round 2,566645,158
Al Pardo,187,Y,2,2,2,JR,S,June Amateur Draft,6,26,1980,"Pardo, Al",52,Y,Baltimore Orioles,American League,C,BAL,1962-09-08T00:00:00,R,103,"Jefferson HS (Tampa, FL)",,N,Round 2,120215,110
Jody Johnston,,N,,3,3,JR,,June Amateur Draft,,1,1980,"Johnston, Jody",53,N,New York Mets,National League,P,NYM,,,104,"Franklin Academy HS (Burke, NY)",,N,Round 3,560590,121
Rico Sutton,,N,,3,3,JR,,June Amateur Draft,,2,1980,"Sutton, Rico",54,N,Toronto Blue Jays,American League,OF,TOR,,,103,Lamar,,N,Round 3,567942,141
Harry McCulla,,N,,3,3,JR,,June Amateur Draft,,3,1980,"McCulla, Harry",55,N,Atlanta Braves,National League,C,ATL,,,104,Central Arizona College,,N,Round 3,562664,144
Rich Bordi,220,Y,7,3,3,JR,R,June Amateur Draft,6,4,1980,"Bordi, Rich",56,Y,Oakland Athletics,American League,P,OAK,1959-04-18T00:00:00,R,103,Fresno State,,N,Round 3,111233,133
Gregory Pope,,N,0,3,3,JR,,June Amateur Draft,,5,1980,"Pope, Gregory",57,N,Cleveland Indians,American League,P,CLE,,,103,Sacramento City College,,N,Round 3,473708,114
Robert Hudson,,N,,3,3,JR,,June Amateur Draft,,6,1980,"Hudson, Robert",58,N,Seattle Mariners,American League,P,SEA,,,103,UC Riverside,,N,Round 3,560084,136
Allan Heath,,N,0,3,3,JR,,June Amateur Draft,,7,1980,"Heath, Allan",59,N,Chicago White Sox,American League,P,CWS,,,103,"Waukegan West HS (Waukegan, IL)",,N,Round 3,476814,145
Ronnie Perry,,N,,3,3,JR,,June Amateur Draft,,8,1980,"Perry, Ronnie",60,N,Chicago White Sox,American League,SS,CWS,,,103,Holy Cross,,N,Round 3,564459,145
Ken Dixon,166,Y,11,3,3,JR,S,June Amateur Draft,5,9,1980,"Dixon, Ken",61,Y,Baltimore Orioles,American League,P,BAL,1960-10-17T00:00:00,R,103,"Amherst County HS (Monroe, VA)",,N,Round 3,113397,110
Bart Mackie,,N,0,3,3,JR,,June Amateur Draft,,10,1980,"Mackie, Bart",62,N,Cleveland Indians,American League,C,CLE,,,103,"Meadowdale HS (Lynwood, WA)",,N,Round 3,475966,114
David Pagel,,N,,3,3,JR,,June Amateur Draft,,11,1980,"Pagel, David",63,N,Chicago Cubs,National League,SS,CHC,,,104,Central Michigan,,N,Round 3,564139,112
Scotti Madison,195,Y,11,3,3,JR,S,June Amateur Draft,5,12,1980,"Madison, Scotti",64,Y,Minnesota Twins,American League,OF,MIN,1959-09-12T00:00:00,R,103,Vanderbilt,,N,Round 3,118124,142
Doug Maggio,,N,,3,3,JR,,June Amateur Draft,,13,1980,"Maggio, Doug",65,N,Philadelphia Phillies,National League,C,PHI,,,104,"Shaler HS (Pittsburgh, PA)",,N,Round 3,562181,143
Lindy Duncan,,N,,3,3,JR,,June Amateur Draft,,14,1980,"Duncan, Lindy",66,N,Texas Rangers,American League,SS,TEX,,,103,Missouri,,N,Round 3,558022,140
Dan Stryffler,,N,,3,3,JR,,June Amateur Draft,,15,1980,"Stryffler, Dan",67,N,St. Louis Cardinals,National League,OF,STL,,,104,"Fitch HS (Youngstown, OH)",,N,Round 3,567860,138
Douglas Cook,,N,0,3,3,JR,R,June Amateur Draft,,16,1980,"Cook, Douglas",68,N,Kansas City Royals,American League,P,KC,1962-08-02T00:00:00,,103,"Forest Hills HS (West Palm Beach, FL)",,N,Round 3,454408,118
Jeff Calhoun,190,Y,2,3,3,JR,L,June Amateur Draft,6,17,1980,"Calhoun, Jeff",69,Y,Houston Astros,National League,P,HOU,1958-04-11T00:00:00,L,104,Mississippi,,N,Round 3,111877,117
Robert Casanovas,,N,,3,3,JR,,June Amateur Draft,,18,1980,"Casanovas, Robert",70,N,Detroit Tigers,American League,OF,DET,,,103,Mahwah HS (NJ),,N,Round 3,570001,116
Danny Tartabull,205,Y,1,3,3,JR,R,June Amateur Draft,6,19,1980,"Tartabull, Danny",71,N,Cincinnati Reds,National League,2B,CIN,1962-10-30T00:00:00,R,104,"Carol City HS (Opalocka, FL)",,N,Round 3,123096,113
Jack McMahon,,N,,3,3,JR,,June Amateur Draft,,20,1980,"McMahon, Jack",72,N,California Angels,American League,P,CAL,,,103,Cal State Dominguez Hills,,N,Round 3,562831,108
Greg Bargar,185,Y,2,3,3,JR,R,June Amateur Draft,6,21,1980,"Bargar, Greg",73,Y,Montreal Expos,National League,P,MON,1959-01-27T00:00:00,R,104,Arizona,,N,Round 3,110562,120
Billy Cannon,,N,,3,3,JR,,June Amateur Draft,,22,1980,"Cannon, Billy",74,N,New York Yankees,American League,SS,NYY,,,103,"Broadmoor HS (Baton Rouge, LA)",,N,Round 3,556456,147
Keith Thibodeaux,,N,0,3,3,JR,,June Amateur Draft,,23,1980,"Thibodeaux, Keith",75,N,Pittsburgh Pirates,National League,P,PIT,,,104,Louisiana Tech,,N,Round 3,475483,134
Mitch Johnson,,N,0,3,3,JR,R,June Amateur Draft,,24,1980,"Johnson, Mitch",76,N,Boston Red Sox,American League,P,BOS,1962-08-02T00:00:00,R,103,"Donegal HS (Mt. Joy, PA)",,N,Round 3,452929,111
Maury Ornest,,N,,3,3,JR,,June Amateur Draft,,25,1980,"Ornest, Maury",77,N,Milwaukee Brewers,American League,3B,MIL,,,103,UC Santa Barbara,,N,Round 3,564035,158
Andy Timko,,N,,3,3,JR,,June Amateur Draft,,26,1980,"Timko, Andy",78,N,Baltimore Orioles,American League,SS,BAL,,,103,"Kennedy HS (McDonald, OH)",,N,Round 3,565227,110
Mike Davis,,N,,4,4,JR,,June Amateur Draft,,1,1980,"Davis, Mike",79,N,New York Mets,National League,2B,NYM,,,104,Wichita State,,N,Round 4,557506,121
Bob McNair,,N,,4,4,JR,,June Amateur Draft,,2,1980,"McNair, Bob",80,N,Toronto Blue Jays,American League,1B,TOR,,,103,Oregon State,,N,Round 4,562857,141
Craig Jones,,N,0,4,4,JR,R,June Amateur Draft,,3,1980,"Jones, Craig",81,N,Atlanta Braves,National League,P,ATL,1958-08-19T00:00:00,R,104,U.S. Military Academy,,N,Round 4,457352,144
Ken Johnson,,N,,4,4,JR,,June Amateur Draft,,4,1980,"Johnson, Ken",82,N,Oakland Athletics,American League,SS,OAK,,,103,"Garfield HS (Woodbridge, VA)",,N,Round 4,560528,133
Neil Bryant,,N,,4,4,JR,,June Amateur Draft,,5,1980,"Bryant, Neil",83,N,San Diego Padres,National League,P,SD,,,104,Los Angeles City College,,N,Round 4,556155,135
Steve Krueger,,N,0,4,4,JR,,June Amateur Draft,,6,1980,"Krueger, Steve",84,N,Seattle Mariners,American League,P,SEA,,,103,Arkansas,,N,Round 4,475576,136
Matt Williams,200,Y,1,4,4,JR,R,June Amateur Draft,6,7,1980,"Williams, Matt",85,N,Milwaukee Brewers,American League,P,MIL,1959-07-25T00:00:00,R,103,Rice,,N,Round 4,124327,158
Mark Wiesler,,N,,4,4,JR,,June Amateur Draft,,8,1980,"Wiesler, Mark",86,N,Chicago White Sox,American League,2B,CWS,,,103,"Chaminade HS (Miramar, FL)",,N,Round 4,568749,145
David Christianson,,N,0,4,4,JR,,June Amateur Draft,,9,1980,"Christianson, David",87,N,San Diego Padres,National League,1B,SD,,,104,"Kennedy HS (Chicago, IL)",,N,Round 4,473923,135
Doug Drabek,185,Y,1,4,4,JR,R,June Amateur Draft,6,10,1980,"Drabek, Doug",88,Y,Cleveland Indians,American League,OF,CLE,1962-07-25T00:00:00,R,103,"St. Joseph's HS (Victoria, TX)",,N,Round 4,113538,114
Bruce Seid,160,N,10,4,4,JR,R,June Amateur Draft,5,11,1980,"Seid, Bruce",89,N,Chicago Cubs,National League,SS,CHC,1961-12-13T00:00:00,R,104,Oak Park HS (MI),,N,Round 4,566768,112
Rod Booker,175,Y,0,4,4,JR,L,June Amateur Draft,6,12,1980,"Booker, Rod",90,Y,Minnesota Twins,American League,SS,MIN,1958-09-04T00:00:00,R,103,University of California-Berkeley,,N,Round 4,111210,142
Jon Reelhorn,,N,,4,4,JR,,June Amateur Draft,,13,1980,"Reelhorn, Jon",91,N,Philadelphia Phillies,National League,P,PHI,,,104,Fresno State,,N,Round 4,565678,143
Curtis Wilkerson,158,Y,9,4,4,JR,S,June Amateur Draft,5,14,1980,"Wilkerson, Curtis",92,Y,Texas Rangers,American League,SS,TEX,1961-04-26T00:00:00,R,103,"Dinwiddle HS (Sutherland, VA)",,N,Round 4,124266,140
Ricky Horton,195,Y,2,4,4,JR,L,June Amateur Draft,6,15,1980,"Horton, Ricky",93,Y,St. Louis Cardinals,National League,P,STL,1959-07-30T00:00:00,L,104,Virginia,,N,Round 4,116163,138
Lester Strode,210,N,11,4,4,JR,L,June Amateur Draft,5,16,1980,"Strode, Lester",94,Y,Kansas City Royals,American League,P,KC,1958-06-17T00:00:00,L,103,Kentucky State,,N,Round 4,506427,118
Kenneth Elsee,,N,0,4,4,JR,,June Amateur Draft,,17,1980,"Elsee, Kenneth",95,N,Houston Astros,National League,P,HOU,,,104,UNLV,,N,Round 4,473703,117
Bob Sebra,200,Y,2,4,4,JR,R,June Amateur Draft,6,18,1980,"Sebra, Bob",96,Y,Detroit Tigers,American League,P,DET,1961-12-11T00:00:00,R,103,"Gloucester Catholic HS (Medford Lakes, NJ)",,N,Round 4,121962,116
Ken Scarpace,,N,,4,4,JR,,June Amateur Draft,,19,1980,"Scarpace, Ken",97,N,Cincinnati Reds,National League,OF,CIN,,,104,Western Michigan,,N,Round 4,566540,113
Matt Gundelfinger,,N,,4,4,JR,,June Amateur Draft,,20,1980,"Gundelfinger, Matt",98,N,California Angels,American League,OF,CAL,,,103,Kansas,,N,Round 4,558993,108
Tom Gorman,200,Y,4,4,4,JR,L,June Amateur Draft,6,21,1980,"Gorman, Tom",99,Y,Montreal Expos,National League,P,MON,1957-12-16T00:00:00,L,104,Gonzaga,,N,Round 4,114981,120
Steve Madden,,N,,4,4,JR,,June Amateur Draft,,22,1980,"Madden, Steve",100,N,New York Yankees,American League,OF,NYY,,,103,New Hartford HS (NY),,N,Round 4,562163,147
Mike Moore,205,Y,4,1,1,JR,R,June Amateur Draft,6,1,1981,"Moore, Mike",1,Y,Seattle Mariners,American League,P,SEA,1959-11-26T00:00:00,R,103,Oral Roberts,,N,Round 1,119313,136
Joe Carter,215,Y,3,1,1,JR,R,June Amateur Draft,6,2,1981,"Carter, Joe",2,N,Chicago Cubs,National League,OF,CHC,1960-03-07T00:00:00,R,104,Wichita State,,N,Round 1,112064,112
Dick Schofield,178,Y,10,1,1,JR,R,June Amateur Draft,5,3,1981,"Schofield, Dick",3,Y,California Angels,American League,SS,CAL,1962-11-21T00:00:00,R,103,"Griffin HS (Springfield, IL)",,N,Round 1,121854,108
Terry Blocker,195,Y,2,1,1,JR,L,June Amateur Draft,6,4,1981,"Blocker, Terry",4,Y,New York Mets,National League,OF,NYM,1959-08-18T00:00:00,L,104,Tennessee State,,N,Round 1,111107,121
Matt Williams,200,Y,1,1,1,JR,R,June Amateur Draft,6,5,1981,"Williams, Matt",5,N,Toronto Blue Jays,American League,P,TOR,1959-07-25T00:00:00,R,103,Rice,,N,Round 1,124327,141
Kevin McReynolds,210,Y,1,1,1,JR,R,June Amateur Draft,6,6,1981,"McReynolds, Kevin",6,N,San Diego Padres,National League,OF,SD,1959-10-16T00:00:00,R,104,Arkansas,,N,Round 1,118875,135
Daryl Boston,203,Y,3,1,1,JR,L,June Amateur Draft,6,7,1981,"Boston, Daryl",7,Y,Chicago White Sox,American League,P,CWS,1963-01-04T00:00:00,L,103,"Woodward HS (Cincinnati, OH)",,N,Round 1,111257,145
Bob Meacham,180,Y,1,1,1,JR,S,June Amateur Draft,6,8,1981,"Meacham, Bob",8,Y,St. Louis Cardinals,National League,SS,STL,1960-08-25T00:00:00,R,104,San Diego State,,N,Round 1,118886,138
Ron Darling,195,Y,3,1,1,JR,R,June Amateur Draft,6,9,1981,"Darling, Ron",9,N,Texas Rangers,American League,P,TEX,1960-08-19T00:00:00,R,103,Yale,,N,Round 1,113054,140
Mark Grant,205,Y,2,1,1,JR,R,June Amateur Draft,6,10,1981,"Grant, Mark",10,Y,San Francisco Giants,National League,P,SF,1963-10-24T00:00:00,R,104,"Catholic HS (Joliet, IL)",,N,Round 1,115047,137
Michael Sodders,,N,0,1,1,JR,R,June Amateur Draft,,11,1981,"Sodders, Michael",11,N,Minnesota Twins,American League,3B,MIN,1958-12-26T00:00:00,,103,Arizona State,,N,Round 1,457345,142
Jay Roberts,,N,,1,1,JR,,June Amateur Draft,,12,1981,"Roberts, Jay",12,N,Atlanta Braves,National League,OF,ATL,,,104,Centralia HS (WA),,N,Round 1,565958,144
George Alpert,,N,,1,1,JR,,June Amateur Draft,,13,1981,"Alpert, George",13,N,Cleveland Indians,American League,OF,CLE,,,103,Livingston HS (NJ),,N,Round 1,554648,114
Jim Winn,210,Y,3,1,1,JR,R,June Amateur Draft,6,14,1981,"Winn, Jim",14,Y,Pittsburgh Pirates,National League,P,PIT,1959-09-23T00:00:00,R,104,John Brown University,,N,Round 1,124458,134
Tim Pyznarski,195,Y,2,1,1,JR,R,June Amateur Draft,6,15,1981,"Pyznarski, Tim",15,Y,Oakland Athletics,American League,3B,OAK,1960-02-04T00:00:00,R,103,Eastern Illinois,,N,Round 1,120821,133
Vance Lovelace,205,Y,5,1,1,JR,L,June Amateur Draft,6,16,1981,"Lovelace, Vance",16,Y,Chicago Cubs,National League,P,CHC,1963-08-09T00:00:00,L,104,"Hillsborough HS (Tampa, FL)",,N,Round 1,117941,112
Ricky Barlow,,N,0,1,1,JR,R,June Amateur Draft,,17,1981,"Barlow, Ricky",17,N,Detroit Tigers,American League,P,DET,1963-03-21T00:00:00,R,103,Woodville HS (TX),,N,Round 1,449711,116
Darren Dilks,,N,0,1,1,JR,L,June Amateur Draft,,18,1981,"Dilks, Darren",18,N,Montreal Expos,National League,P,MON,1960-06-30T00:00:00,L,104,Oklahoma State,,N,Round 1,461204,120
Steve Lyons,195,Y,3,1,1,JR,L,June Amateur Draft,6,19,1981,"Lyons, Steve",19,Y,Boston Red Sox,American League,SS,BOS,1960-06-03T00:00:00,R,103,Oregon State,,N,Round 1,118053,111
Johnny Abrego,185,Y,0,1,1,JR,R,June Amateur Draft,6,20,1981,"Abrego, Johnny",20,N,Philadelphia Phillies,National League,P,PHI,1962-07-04T00:00:00,R,104,"Mission HS (San Jose, CA)",,N,Round 1,110028,143
John Cerutti,200,Y,2,1,1,JR,L,June Amateur Draft,6,21,1981,"Cerutti, John",21,Y,Toronto Blue Jays,American League,P,TOR,1960-04-28T00:00:00,L,103,Amherst,,N,Round 1,112160,141
Dave Anderson,185,Y,2,1,1,JR,R,June Amateur Draft,6,22,1981,"Anderson, Dave",22,Y,Los Angeles Dodgers,National League,SS,LA,1960-08-01T00:00:00,R,104,Memphis State University,,N,Round 1,110231,119
Dave Leeper,170,Y,11,1,1,JR,L,June Amateur Draft,5,23,1981,"Leeper, Dave",23,Y,Kansas City Royals,American League,OF,KC,1959-10-30T00:00:00,L,103,Southern California,,N,Round 1,117621,118
Al Lachowicz,198,Y,3,1,1,JR,R,June Amateur Draft,6,24,1981,"Lachowicz, Al",24,N,Texas Rangers,American League,P,TEX,1960-09-06T00:00:00,R,103,Pittsburgh,,N,Round 1,117390,140
Kevin Burrell,0,N,0,1,1,JR,,June Amateur Draft,0,25,1981,"Burrell, Kevin",25,Y,Boston Red Sox,American League,C,BOS,1962-12-02T00:00:00,R,103,Poway HS (CA),,N,Round 1,461092,111
Frank Castro,,N,0,1,1,JR,,June Amateur Draft,,26,1981,"Castro, Frank",26,N,San Diego Padres,National League,C,SD,,,104,Miami (FL),,N,Round 1,476682,135
Kevin Dukes,,N,,2,2,JR,,June Amateur Draft,,1,1981,"Dukes, Kevin",27,N,Seattle Mariners,American League,P,SEA,,,103,Arizona State,,N,Round 2,558005,136
Darrin Jackson,185,Y,0,2,2,JR,R,June Amateur Draft,6,2,1981,"Jackson, Darrin",28,Y,Chicago Cubs,National League,OF,CHC,1963-08-22T00:00:00,R,104,Culver City HS (CA),,N,Round 2,116426,112
